order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,135,Neo,254,VR Headset,Electronics,Card,1,2658,2021-02-25 23:15:12,Germany,Hamburg,www.tatacliq.com,18554,Y,
2,119,Mary Jane,281,Hats,Clothing,Card,43,794,2021-03-06 16:44:39,Germany,Hamburg,www.tatacliq.com,31072,Y,
3,108,Mary Jane,203,Projector,Electronics,Wallet,2,8799,2021-08-20 03:17:57,UK,Oxford,www.tatacliq.com,63744,N,Timeout
4,128,Trinity,205,Historical Fiction,Books,UPI,2,7677,2021-12-10 15:52:47,Germany,Munich,www.flipkart.com,81589,Y,
5,122,Mary Jane,289,Home Theater System,Electronics,Internet Banking,12,1636,2021-08-14 19:51:36,India,Mumbai,www.flipkart.com,59068,N,Insufficient Funds
6,149,Mary Jane,244,Wireless Router,Electronics,Wallet,6,4149,2021-10-20 07:32:47,Australia,Sydney,www.amazon.com,60764,N,Timeout
7,121,Joe Smith,217,Comics,Books,Internet Banking,20,7923,2021-12-22 13:31:46,India,Bengaluru,www.ebay.in,54379,Y,
8,145,Neo,200,Oven Mitts,Home & Kitchen,Internet Banking,2,5602,2021-06-24 08:25:57,Australia,Brisbane,www.ebay.in,25514,N,Insufficient Funds
9,119,Joe Smith,284,Measuring Cups,Home & Kitchen,Invalid,40,3524,2021-01-13 20:03:50,Australia,Sydney,www.amazon.com,26422,N,Invalid CVV
10,148,Joe Smith,289,Young Adult,Books,Invalid,33,5063,2021-01-02 14:58:57,UK,London,www.ebay.in,98174,Y,
11,115,Trinity,272,Sweaters,Clothing,UPI,19,5296,2021-08-02 17:47:16,India,Bengaluru,www.ebay.in,48096,N,Insufficient Funds
12,166,Trinity,284,Tablet,Electronics,Internet Banking,15,358,2021-08-21 13:40:45,USA,New York,www.tatacliq.com,63728,N,Insufficient Funds
13,130,Trinity,288,Self-Help,Books,Internet Banking,42,7656,2021-11-20 11:23:58,Germany,Munich,www.ebay.in,66612,N,Insufficient Funds
14,107,Neo,253,Food Storage Containers,Home & Kitchen,UPI,19,3162,2021-02-28 10:18:29,Germany,Berlin,www.flipkart.com,84674,N,Invalid CVV
