order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,104,Neo,209,Notebook,Stationery,Card,19,7225,2021-04-13 11:49:32,UK,London,www.ebay.in,65652,N,Invalid CVV
2,173,Mary Jane,232,Poetry,Books,Card,22,5744,2021-08-19 09:23:04,Germany,Hamburg,www.ebay.in,23795,N,Invalid CVV
3,122,Joe Smith,208,Nightwear,Clothing,UPI,46,6031,2021-07-15 07:47:53,Australia,Brisbane,www.tatacliq.com,37285,N,Timeout
4,139,Mary Jane,236,Mystery,Books,Wallet,3,246,2021-09-14 01:15:05,UK,Manchester,www.ebay.in,49057,N,Timeout
5,160,Trinity,276,Glasses,Home & Kitchen,Wallet,10,7548,2021-01-24 11:45:56,UK,Oxford,www.tatacliq.com,43259,N,Insufficient Funds
6,184,Joe Smith,268,VR Headset,Electronics,Internet Banking,19,7095,2021-01-17 11:50:58,USA,Boston,www.flipkart.com,71634,Y,None
7,117,Neo,249,Young Adult,Books,UPI,3,2344,2021-02-07 21:27:09,India,Mumbai,www.flipkart.com,34111,Y,None
8,180,John Smith,229,Thrillers,Books,UPI,36,3773,2021-06-23 15:05:21,USA,New York,www.ebay.in,32955,Y,None
9,123,Joe Smith,206,Sweaters,Clothing,Internet Banking,22,6734,2021-06-21 12:47:49,Australia,Brisbane,www.flipkart.com,67929,Y,None
10,180,Joe Smith,251,Horror,Books,UPI,36,273,2021-11-07 14:27:00,USA,Chicago,www.tatacliq.com,13336,Y,None
11,120,Joe Smith,252,Spatulas,Home & Kitchen,Wallet,4,9642,2021-10-15 22:36:02,UK,Manchester,www.tatacliq.com,85058,Y,None
12,161,Joe Smith,294,Food Storage Containers,Home & Kitchen,Wallet,6,781349,2021-02-11 11:24:06,Germany,Munich,www.ebay.in,15486,N,Insufficient Funds
13,135,Joe Smith,284,Bluetooth Speaker,Electronics,Wallet,29,9379,2021-03-15 17:26:17,India,Bengaluru,www.amazon.com,56732,N,Insufficient Funds
14,120,John Smith,256,Calculator,Stationery,UPI,8,3554,2021-09-20 22:44:54,Australia,Melbourne,www.tatacliq.com,35127,N,Invalid CVV
15,181,Neo,237,Poetry,Books,Card,12,7916,2021-02-09 07:21:28,USA,Chicago,www.amazon.com,88334,N,Insufficient Funds
16,100,Neo,227,Jackets,Clothing,UPI,1,489,2021-12-10 20:50:20,UK,Oxford,www.amazon.com,12751,Y,None
17,196,Neo,201,Socks,Clothing,Card,5,260,2021-02-25 12:04:40,India,Mumbai,www.tatacliq.com,43130,Y,None
18,114,Neo,253,File Folder,Stationery,Wallet,38,9885,2021-02-26 02:36:21,India,Mumbai,www.tatacliq.com,61586,Y,None
19,170,John Smith,200,Non-fiction,Books,UPI,48,9817,2021-12-10 13:11:08,USA,Boston,www.flipkart.com,35528,N,Invalid CVV
20,139,Trinity,242,Non-fiction,Books,Internet Banking,35,6276,2021-05-07 14:26:27,Australia,Melbourne,www.flipkart.com,20258,Y,None
21,183,Trinity,222,Bluetooth Earbuds,Electronics,Internet Banking,35,1568,2021-12-11 20:37:41,UK,London,www.tatacliq.com,16733,N,Invalid CVV
22,140,John Smith,235,Pants,Clothing,Card,14,1657,2021-03-10 18:33:59,Germany,Hamburg,www.tatacliq.com,75601,N,Timeout
23,105,John Smith,259,T-Shirts,Clothing,Internet Banking,8,6289,2021-09-22 09:55:25,UK,London,www.ebay.in,69101,Y,None
24,194,Mary Jane,240,Underwear,Clothing,Internet Banking,3,2749,2021-09-11 02:58:12,Germany,Hamburg,www.flipkart.com,93280,N,Invalid CVV
25,158,Mary Jane,206,Notebook,Stationery,Internet Banking,4,2716,2021-05-25 06:17:51,Germany,Munich,www.ebay.in,46168,Y,None
26,168,Trinity,246,Headphones,Electronics,Wallet,46,6995,2021-11-16 18:54:01,UK,Manchester,www.tatacliq.com,51674,N,Invalid CVV
27,173,Neo,273,Kitchen Towels,Home & Kitchen,UPI,8,881,2021-06-29 03:07:56,India,Mumbai,www.amazon.com,16046,N,Insufficient Funds
28,133,Trinity,218,Children's Books,Books,Invalid,33,4386,2021-09-04 16:47:55,USA,New York,www.tatacliq.com,18902,Y,None
29,175,Trinity,271,Hoodies,Clothing,Internet Banking,50,6136,2021-06-10 20:10:45,Germany,Munich,www.amazon.com,35944,N,Insufficient Funds
30,184,Trinity,246,Plates,Home & Kitchen,Wallet,15,9804,2021-02-08 08:58:38,USA,Chicago,www.flipkart.com,85306,Y,None
